,VIAT_ID,LCLASDC,MLSFCDC,SCLASDC,DCLASDC,BCLASDC,VIAT_NM,X_VALUE,Y_VALUE,latitude,longitude
1816,AA0003136379,교육/보건,보건시설,한의원,,,평강한의원,198509.018953,451952.383234,37.567107688127855,126.98312343680527
1817,AA0006791545,산업,서비스산업,언론/미디어,기타언론/미디어,,이오콘텐츠,190758.43874100002,452817.489228,37.574857102733226,126.8953830220328
1818,AA0003145030,교육/보건,보건시설,기타보건시설,약국,미분류,영등포역중앙약국,191816.953665,446212.60234399996,37.51535721181119,126.9074392894633
1819,AA0002126417,교육/보건,교육시설,고등교육기관,공립고등학교,,영등포고등학교,194153.89450599998,445450.72489899996,37.508510424611764,126.93387911311954
1820,AA0002123186,교육/보건,교육시설,유아교육기관,사립유치원,,숲유치원,193313.12794500001,460196.90500900004,37.64136689839242,126.92423535681355
1821,AA0003172189,산업,서비스산업,종합상품판매업,편의점,CU,CU,211458.89918399998,446354.004188,37.51659639517264,127.12961692129618
1822,AA0005534472,산업,서비스산업,금융/보험업,일반은행,새마을금고,새마을금고,202713.99452100002,452453.94499399996,37.57162394591927,127.03072182934959
1823,AA0006601042,교육/보건,보건시설,기타보건시설,약국,미분류,세종약국,192841.47648900002,441291.163872,37.47102325573095,126.91907579673435
1824,AA0002124446,교육/보건,교육시설,유아교육기관,사립유치원,,오색유치원,190854.14486,453819.379279,37.58388501220053,126.89645393938541
1825,AA0009428776,산업,서비스산업,종합상품판매업,편의점,CU,CU,204242.596253,454145.743663,37.586861174116834,127.04803505639975
1826,AA0003151229,산업,서비스산업,금융/보험업,일반은행,신한은행,신한은행,197887.493031,451065.733695,37.5591177924814,126.97609087651703
