,VIAT_ID,LCLASDC,MLSFCDC,SCLASDC,DCLASDC,BCLASDC,VIAT_NM,X_VALUE,Y_VALUE,latitude,longitude,sido,gu,dong
11128,AA0000046008,교육/보건,교육시설,유아교육기관,어린이집,,비룡어린이집,186578.3901,445004.3188,37.50440926,126.8482066,서울특별시,구로구,고척2동
11129,AA0000162544,교육/보건,보건시설,한의원,,,소나무한의원,207053.9155,455798.36,37.60173385,127.079881,서울특별시,중랑구,중화1동
11130,AA0002123237,교육/보건,교육시설,유아교육기관,사립유치원,,열림유치원,193741.4717,445500.5534,37.50895668,126.9292141,서울특별시,동작구,대방동
11131,AA0003135635,레저/관광/예술,문화/예술시설,극장,일반영화관,미분류,삼일로창고극장,198937.3228,451550.5049,37.56348737,126.987972,서울특별시,중구,명동
11132,AA0003897550,산업,서비스산업,종합상품판매업,시장,미분류,신흥재래시장,198673.946,449533.3202,37.54531224,126.9849946,서울특별시,용산구,용산2가동
11133,AA0006561288,교육/보건,보건시설,한의원,,,명수대한의원,196756.3653,445362.5141,37.50772845,126.9633141,서울특별시,동작구,흑석동
11134,AA0000163582,교육/보건,보건시설,한의원,,,인화당한의원,207526.2373,445052.594,37.50491108,127.0851195,서울특별시,송파구,잠실본동
11135,AA0003248373,숙박/음식,숙박시설,기타숙박시설,,,김치게스트하우스,197568.0375,449623.4761,37.54612229,126.9724801,서울특별시,용산구,남영동
11136,AA0000042721,교육/보건,교육시설,유아교육기관,어린이집,,한솔어린이집,205427.6237,455919.7518,37.60283861,127.0614652,서울특별시,동대문구,이문1동
11137,AA0002137459,교육/보건,교육시설,대학교,종합대학,부속시설,아름관,199843.6136,453630.1357,37.58222534,126.9982295,서울특별시,종로구,혜화동
11138,AA0006611286,교육/보건,보건시설,한의원,,,민병일한의원,195238.9296,443074.5737,37.48710739,126.9461665,서울특별시,관악구,성현동
11139,AA0006624473,교육/보건,보건시설,한의원,,,아이누리한의원,200904.3381,450563.5798,37.55459538,127.0102346,서울특별시,중구,다산동
11140,AA0005536202,산업,서비스산업,금융/보험업,생명보험,흥국생명,흥국생명,192340.7903,446845.6269,37.52106527,126.913358,서울특별시,영등포구,영등포동
11141,AA0000092747,교육/보건,보건시설,기타보건시설,약국,지역약국,우정약국,208806.9333,455550.5917,37.59948638,127.0997297,서울특별시,중랑구,망우본동
11142,AA0007249507,행정,중앙행정기관,중앙위원회,미분류,,국민권익위원회서울종합민원사무소,197219.0664,451473.337,37.56278851,126.9685242,서울특별시,서대문구,충현동
11143,AA0006563056,교육/보건,보건시설,한의원,,,성일한의원,212140.2757,449910.0581,37.54862768,127.137383,서울특별시,강동구,천호1동
11144,AA0002131242,교육/보건,교육시설,대학교,종합대학,부속시설,법학관,205076.094,455241.6123,37.59673064,127.0574796,서울특별시,동대문구,이문1동
11145,AA0006560149,교육/보건,보건시설,한의원,,,다사랑한의원,192892.5529,447870.9505,37.53030786,126.9195896,서울특별시,영등포구,여의동
11146,AA0000045097,교육/보건,교육시설,유아교육기관,어린이집,,꼬꼬마어린이집,187997.9953,449319.4855,37.54330845,126.8641913,서울특별시,양천구,목3동
11147,AA0003140677,산업,서비스산업,금융/보험업,생명보험,알리안츠생명,알리안츠생명,193248.7892,450861.9885,37.55725975,126.9235924,서울특별시,마포구,서교동
